BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
22/09/20	3	Climatieur Star Sat 18 000 BTU	 16 500,00   	10%	 8 663   	 825,00   	 9 487,50   	 7 012,50   	
03/11/20	17	Extincteurs 6 KGS abc	 22 400,00   	10%	 11 573   	 1 120,00   	 12 693,33   	 9 706,67   	
25/11/20	1	Groupe Electrogènes 15 KVA	 356 700,00   	10%	 181 323   	 17 835,00   	 199 157,50   	 157 542,50   	
01/12/20	6	Climatiseurs ( 18000 btu +12000  btu	 119 500,00   	10%	 60 746   	 5 975,00   	 66 720,83   	 52 779,17   	
24/12/20		Reliquat menuiserie moderne	 17 800,00   	10%	 8 900   	 890,00   	 9 790,00   	 8 010,00   	
29/12/20		Ets moulaye Ghadour	 90 000,00   	10%	 45 000   	 4 500,00   	 49 500,00   	 40 500,00   	
31/12/20		Solde au 31/12/2020	 26 882 434,00   	10%	 23 143 324,67   	 613 577,52   	 23 756 902,18   	 3 125 531,82   	
									
									
									
									
01/01/20121		Report 31/12/2020	 26 882 434,00   	10%	 23 143 324,67   	 613 577,52   	 23 756 902,18   	 3 125 531,82   	
18/01/21	1	Camera haute resolution  + Accessoitres	 5 500,00   	10%	 2 750,00   	 275,00   	 3 025,00   	 2 475,00   	
18/01/21	1	Camera IP 4 MP  + Accessoitres	 18 700,00   	10%	 9 350,00   	 935,00   	 10 285,00   	 8 415,00   	
06/04/21	1	Porte aluminium	 17 800,00   	10%	 8 455,00   	 890,00   	 9 345,00   	 8 455,00   	
30/06/21	2	GAB	 495 000,00   	10%	 222 750,00   	 24 750,00   	 247 500,00   	 247 500,00   	
13/07/21	1	Camera haute resolution  + Accessoitres	 16 000,00   	10%	 7 133,33   	 800,00   	 7 933,33   	 8 066,67   	
14/07/21	1	Compteuse de liasse avec cavalier TC 5500H	 250 000,00   	10%	 111 458,33   	 12 500,00   	 123 958,33   	 126 041,67   	
28/07/21		Camera haute resolution  + Accessoitres	 8 500,00   	10%	 3 754,17   	 425,00   	 4 179,17   	 4 320,83   	
29/07/21		Camera  + Accessoitres	 18 000,00   	10%	 7 950,00   	 900,00   	 8 850,00   	 9 150,00   	
30/07/21		Construction mur	 70 150,00   	10%	 30 982,92   	 3 507,50   	 34 490,42   	 35 659,58   	
30/07/21		Camera  + Accessoitres reliquat	 9 400,00   	10%	 4 151,67   	 470,00   	 4 621,67   	 4 778,33   	
04/08/21	2	Camera  + Accessoitres	 12 500,00   	10%	 5 520,83   	 625,00   	 6 145,83   	 6 354,17   	
04/08/21	1	Boite alimentation camera de surveillance	 4 500,00   	10%	 1 987,50   	 225,00   	 2 212,50   	 2 287,50   	
12/08/21		Construction mur	 70 150,00   	10%	 30 690,63   	 3 507,50   	 34 198,13   	 35 951,88   	
12/08/21	2	GAB	 495 000,00   	10%	 216 562,50   	 24 750,00   	 241 312,50   	 253 687,50   	
07/09/21	1	Camera  + Accessoitres	 36 960,00   	10%	 16 016,00   	 1 848,00   	 17 864,00   	 19 096,00   	
07/09/21	1	Camera  + Accessoitres	 48 320,00   	10%	 20 938,67   	 2 416,00   	 23 354,67   	 24 965,33   	
07/09/21	1	Camera  + Accessoitres	 36 960,00   	10%	 16 016,00   	 1 848,00   	 17 864,00   	 19 096,00   	
15/09/21		Camera  + Accessoitres reliquat	 12 080,00   	10%	 5 184,33   	 604,00   	 5 788,33   	 6 291,67   	
15/09/21		Camera  + Accessoitres reliquat	 9 240,00   	10%	 3 965,50   	 462,00   	 4 427,50   	 4 812,50   	
15/09/21		Camera  + Accessoitres reliquat	 9 240,00   	10%	 3 965,50   	 462,00   	 4 427,50   	 4 812,50   	
15/09/21	17	Instincteurs	 25 500,00   	10%	 10 943,75   	 1 275,00   	 12 218,75   	 13 281,25   	
30/09/21	4	Climatiseurs split beko+gree+EMG+airwell	 123 500,00   	10%	 52 487,50   	 6 175,00   	 58 662,50   	 64 837,50   	
22/10/21	8	Camera  + Accessoitres	 44 000,00   	10%	 18 333,33   	 2 200,00   	 20 533,33   	 23 466,67   	
31/12/21		Solde au 31/12/2021	 28 719 434,00   	10%	 23 954 672,13   	 705 427,52   	 24 660 099,64   	 4 059 334,36   	
